姓名,選區,政黨,現任立委,曾任立委,生日,年齡,照片,wiki,FB 粉絲專頁,學歷,學歷連結,經歷,經歷連結,政見,政見連結
汪志冰,臺北市第一選舉區,中國國民黨,N,N,1957-04-20,63,https://scontent.ftpe4-2.fna.fbcdn.net/v/t1.0-9/46688952_2045530025485130_741779622688980992_o.jpg?_nc_cat=110&_nc_oc=AQnRNhEMlLQN5x6v3E5R6Vfw7wm9NQ7Da9qytoS3EbiVDq22-0A2mTdTeavIpN-iNjE&_nc_ht=scontent.ftpe4-2.fna&oh=44d0f6763920ae5584eb41aa398dcfd0&oe=5E479287,https://zh.wikipedia.org/wiki/汪志冰,https://www.facebook.com/tcc9105/,,,,,,
吳思瑤,臺北市第一選舉區,民主進步黨,Y,Y,1974-05-28,45,http://www.ly.gov.tw/Images/Legislators/90015.jpg,https://zh.wikipedia.org/wiki/吳思瑤,https://www.facebook.com/TaipeiNeedYou/,臺灣大學政治學研究所碩士;輔仁大學西語系、日語系文學雙學士;,立法院OpenData,"臺北市議員(第10、11、12屆);
臺北市議會民進黨團總召集人;
民進黨中常委、中執委、中評委;",立法院OpenData,,
蕭亞譚,臺北市第一選舉區,一邊一國行動黨,N,N,1971-04-11,49,https://scontent.ftpe4-1.fna.fbcdn.net/v/t1.0-9/48388234_1984975654929571_9095670418487902208_n.jpg?_nc_cat=103&_nc_oc=AQntuWYXcp06KbEAiXgN4h-trPXyRiMiF4fxvQxWFZ1Tznb76GwfNKxebsMW-PaRL2E&_nc_ht=scontent.ftpe4-1.fna&oh=c1e3dd1fac395a74a540f21ba1047d63&oe=5E58EE23,,https://www.facebook.com/YatanOffice/,"台大國發所博士 清大社會所碩士 台灣大學社會學系
",,"柯文哲競選辦公室主任;
天馬茶房執行長;
中研院社會所博士後研究員;
行政院國會組諮議;
高雄市市長機要秘書;
文建會主委機要秘書;
逢甲大學講師;
國立聯合大學講師\醒吾技術學院講師\育達商業技術學院講師;",,,
王郁揚,臺北市第一選舉區,無黨籍,N,N,1986-07-08,33,https://scontent.ftpe7-1.fna.fbcdn.net/v/t1.0-9/66628014_436460097199778_997545127029243904_o.jpg?_nc_cat=110&_nc_oc=AQnqi0rg3nOa17D22AQPewZRutx4ysR7HSw4YFk8En8qsavN8niDOLKLxpjPxZ_THAdynndk2cajvXWmPS-1qJCG&_nc_ht=scontent.ftpe7-1.fna&oh=bc84299b5af580df65b35509e7206c92&oe=5E882929,,https://www.facebook.com/PurePeople.WangYuYang/,"國立體育大學運動保健學系 理學士
北市陽明高中
石牌國中
明德國小
正大幼稚園",,"台灣菸草減害協會TTHRA 「發起人＆理事長」;
台灣威卜有限公司VAPE Taiwan Inc. 「負責人」;
CLUB MED TOMAMU 「SKI & SNOWBOARD PR」;
台灣電子煙產業發展協會TVA 「發起人＆秘書長」",,"參選政見(20191103)：
一、推動2040無煙臺灣(菸害防制政策，含電子煙＆加熱菸政策)。
二、建立長照財源穩定制度(爭議產業檯面化，增加國庫稅收)。
三、推動CBD食品化且THC含量上限由現行的10ppm調整為世界衛生組織(WHO)建議的0.2%。
四、推動醫療大麻制度。
五、推動中央大型重機北北基高速公路試辦計畫。
六、推動中央建立性交易示範專區。
七、推動中藥從業人員國家考試制度。
八、爭取運動傷害防護員(AT)弱勢權益，讓全國運動選手有良好運動傷害防護員制度。",https://www.facebook.com/pg/PurePeople.WangYuYang/about/?ref=page_internal
李婉鈺,臺北市第一選舉區,無黨籍,N,N,1972-03-27,48,https://scontent.ftpe7-4.fna.fbcdn.net/v/t1.0-9/75266110_2505984672788767_3122079046779797504_n.jpg?_nc_cat=107&_nc_oc=AQmwaYXDgJEftbik-YqKuTJ6MBMvNTTBEkvwTqcFtVZKiNuUWG1D-JDEg_8JBOAL29IiMMOeHB9ByCKsk8CG1k8z&_nc_ht=scontent.ftpe7-4.fna&oh=b5f08efefb6a27bb081195288eb92ae5&oe=5E8A4D73,https://zh.wikipedia.org/wiki/李婉鈺,https://www.facebook.com/wanyu.newtaipeicity/,文化大學建築都市設計博士 南加大土木工程系 四海工專土木工程系 板橋國中 板橋國小,,,,,
陳峻涵,臺北市第一選舉區,無黨籍,N,N,,,,,,,,,,,
孫大千,臺北市第二選舉區,中國國民黨,N,Y,1969-08-28,50,http://www.ly.gov.tw/Images/Legislators/80045.jpg,https://zh.wikipedia.org/wiki/孫大千,https://www.facebook.com/sun.ta.chienn/,美國俄亥俄州立大學工業材料科學與工程博士;美國俄亥俄州立大學國際關係碩士;國立臺灣大學化學工程學系學士;,立法院OpenData,"第5、6、7屆立法委員;
立法院外交及僑務委員會召集委員;
親民黨文宣部副主任兼發言人;
世新大學法律系兼任講師;
台北市政府中小企業輔導服務中心副執行長;
美國俄亥俄州立大學工業、焊接與系統工程系研究員及助教;",立法院OpenData,,
何志偉,臺北市第二選舉區,民主進步黨,Y,Y,1982-05-14,38,http://www.ly.gov.tw/Images/Legislators/90123.jpg,https://zh.wikipedia.org/wiki/何志偉,https://www.facebook.com/newdaytaipeiho/,美國南加州大學公共行政碩士;,立法院OpenData,"國立政治大學資訊管理博士生;
第十一、十二屆臺北市議員;
民進黨第十四、十五屆中常委;
民進黨第十六屆中評委;
臺北市中醫師公會顧問;
臺北市幼教協會顧問;
寶島新聲電台主持人;",立法院OpenData,,
張穆庭,臺北市第二選舉區,民生公益,N,N,1979-12-15,40,,https://zh.wikipedia.org/wiki/張穆庭,,中國文化大學新聞學系、臺灣大學音樂學研究所、臺灣藝術大學應用媒體藝術研究所,,曾任職相聲瓦舍音樂創意顧問、行政院新聞局、行政院文化建設委員會、臺北市政府觀光傳播局,,,
陳怡潔,臺北市第二選舉區,無黨籍,Y,Y,1979-09-09,40,http://www.ly.gov.tw/Images/Legislators/90061.jpg,https://zh.wikipedia.org/wiki/陳怡潔,https://www.facebook.com/507Chenyichieh/,銘傳大學管理學院研究所博士;,立法院OpenData,"第8屆親民黨全國不分區立法委員;
臺北市政府青年事務委員會副主任委員;
銘傳大學管理學院助理教授;
德明財經科技大學助理教授;
康寧護專企管科講師;
財團法人臺北市陳安文教基金會執行長;",立法院OpenData,,
