序,姓名,性別,現職,學歷,經歷
1,吳玉琴,女,立法委員,東海大學社會工作所碩士,"台灣社會福利總盟理事長
中華民國老人福利推動聯盟秘書長"
2,洪申翰,男,綠色公民行動聯盟副秘書長,國立台灣大學大氣科學系肄業,行政院能源及減碳委員會委員
3,范  雲,女,臺灣大學社會學系副教授,耶魯大學社會學博士,婦女新知基金會董事長
4,羅美玲,女,現任南投縣議員,臺灣師範大學地理系,台灣新住民權益關懷協會第一屆理事長
5,邱泰源,男,立法委員,日本東京大學醫學研究所碩士,"台大醫院主治醫師兼門診部主任
曾任台灣家庭醫學醫學會理事長"
6,周春米,女,立法委員,臺灣大學法律學系,"執業律師
屏東律師公會理事長"
7,游錫堃,男,,東海大學政治學系學士,"行政院院長
民主進步黨黨主席"
8,柯建銘,男,立法委員,中山醫學大學牙醫科,民主進步黨立法院黨團總召集人
9,管碧玲,女,立法委員,臺灣大學政治學博士,民主進步黨立法院黨團幹事長
10,莊瑞雄,男,立法委員,國立臺北大學企業管理學系研究所碩士,"執業律師
台北市議員"
11,沈發惠,男,民進黨中常委,國立臺灣大學政治學碩士,新北市議員
12,林楚茵,女,三立新聞台主播,,三立新聞台主播
13,施義芳,男,立法委員,中央大學土木工程學系碩士,中華民國土木技師公會聯合會理事長
14,游萬豐,男,世界台灣商會聯合總會總會長,University of Liege EMBA 高階企業管理碩士,南非自由省中華學校文教基金會
15,歐蜜‧偉浪,男,台灣原住民族部落行動聯盟秘書長,玉山神學院,原住民族文化事業基金會第3屆董事審查委員
16,湯蕙禎,女,桃園市政府民政局局長,臺灣大學,"桃園縣政府勞動及人力資源處長
桃園市客家文化基金會董事"
17,陳靜敏,女,現任不分區立法委員,美國印第安那大學護理學博士,"成大國際事務處副國際事務長
成大護理學系教授
台灣社區護理學會理事長"
18,黃奕睿,男,會計師公會全聯會理事長,"美國麻州大學企研所碩士
國立政治大學碩士",社團法人台灣省會計師公會理事長
19,許忠富,男,前雲林縣麥寮鄉鄉長,私立嘉南商工,"麥寮鄉長
麥寮拱範宮主任委員"
20,張菊芳,女,現任律師,臺大法律系法學組學士,"台北市律師公會常務理事
婦女新知基金會副董事長暨法律組召集人
財團法人法律服務基金會士林分會會長"
21,呂建德,男,中正大學社會福利學系教授,德國 BIELEFELD 大學社會科學博士,"前臺中市政府社會局局長
臺灣社會福利學會秘書長
國立政治大學社會學系兼任助理教授"
22,陳培瑜,女,兒童閱讀教育推廣老師,國立東華大學教育研究所,"設立花東地區第一間專業兒童書店
長期推動親職關係經營以及閱讀"
23,顏聖冠,女,前台北市議員,"國立政治大學政治學系學士
美國華盛頓大學政治管理學碩士","民進黨台北市議會黨團幹事長
臺北市議會（第8-12屆）議員
民主進步黨文宣部主任"
24,李淑芬,女,礁溪鄉農會績優總幹事,佛光大學經濟研究所碩士,
25,柯富揚,男,中藥師公會全聯會理事長,中國醫藥大學中國醫學研究所碩士,"第九、十屆中華民國醫師公會全國聯合會秘書長
中華民國行政院政務顧問
彰化縣中醫師公會理事長"
26,黃金舜,男,藥師公會全聯會理事長,大仁科技大學藥學系碩士班碩士,"臺北市藥師公會理事長
中華民國藥師公會全國聯合會理事長
行政院政務顧問"
27,林愛龍,女,台灣海洋保育與漁業永續基金會執行長,美國賓州州立大學法學博士候選人,"行政院海洋委員會委員
台灣海龍王愛地球協會理事長"
28,董建宏,男,前台灣勞工陣線協會理事長,紐約市哥倫比亞大學都市計畫博士,台灣中社秘書長
29,林世嘉,女,前立法委員,國立陽明大學衛生福利研究所碩士,"財團法人台灣醫界聯盟基金會執行長
台安生物科技股份有限公司總經理
衛生福利部國際醫療政策諮議會委員"
30,黃帝穎,男,律師、永社理事長,國立臺北教育大學文教法律所碩士,律師、永社理事長
31,趙心瑜,女,民進黨台北市黨部執行長,國立台北商業大學企業管理系EMBA,"民進黨台北市黨部副執行長
2016蔡英文台北市競選總部文宣部主任"
32,蔣念祖,女,台北市婦女新知協會理事長,澳門科技大學工商管理博士,"政大法律學系博士候選人
台北市婦女新知協會理事長"
33,楊懿珊,女,民進黨新聞部主任,英國倫敦大學皇家哈洛威學院政治暨國際關係學碩士,臺中市政府文化局主任秘書
