"'00","'000","'00","'000","'0000","全國"
"'10","'005","'00","'000","'0000","苗栗縣"
"'10","'005","'00","'110","'0000","南庄鄉"
"'10","'005","'04","'110","'0000","南庄鄉第04選區"
"'10","'005","'04","'110","'0001","東村"
"'10","'005","'04","'110","'0002","西村"
"'10","'005","'04","'110","'0003","南江村"
"'10","'005","'04","'110","'0008","蓬萊村"
"'10","'005","'04","'110","'0009","東河村"
"'10","'005","'04","'110","'0004","田美村"
"'10","'005","'04","'110","'0005","獅山村"
"'10","'005","'04","'110","'0006","南富村"
"'10","'005","'04","'110","'0007","員林村"
"'10","'013","'00","'000","'0000","屏東縣"
"'10","'013","'00","'240","'0000","滿州鄉"
"'10","'013","'04","'240","'0000","滿州鄉第04選區"
"'10","'013","'04","'240","'0001","滿州村"
"'10","'013","'04","'240","'0002","里德村"
"'10","'013","'04","'240","'0005","响林村"
"'10","'013","'04","'240","'0003","永靖村"
"'10","'013","'04","'240","'0004","港口村"
"'10","'013","'04","'240","'0006","長樂村"
"'10","'013","'04","'240","'0007","九棚村"
"'10","'013","'04","'240","'0008","港仔村"
"'10","'015","'00","'000","'0000","花蓮縣"
"'10","'015","'00","'010","'0000","花蓮市"
"'10","'015","'05","'010","'0000","花蓮市第05選區"
"'10","'015","'05","'010","'0009","民德里"
"'10","'015","'05","'010","'0018","民勤里"
"'10","'015","'05","'010","'0010","民意里"
"'10","'015","'05","'010","'0025","民心里"
"'10","'015","'05","'010","'0033","民享里"
"'10","'015","'05","'010","'0045","民孝里"
"'10","'015","'05","'010","'0002","民運里"
"'10","'015","'05","'010","'0017","民政里"
"'10","'015","'05","'010","'0001","民立里"
"'10","'015","'05","'010","'0026","民樂里"
"'10","'015","'05","'010","'0034","民有里"
"'10","'015","'05","'010","'0027","民主里"
"'10","'015","'05","'010","'0011","民治里"
"'10","'015","'05","'010","'0003","民族里"
"'10","'015","'05","'010","'0019","民生里"
"'10","'015","'05","'010","'0035","民權里"
"'10","'015","'05","'010","'0020","主商里"
"'10","'015","'05","'010","'0028","主勤里"
"'10","'015","'05","'010","'0013","主工里"
"'10","'015","'05","'010","'0004","主信里"
"'10","'015","'05","'010","'0012","主義里"
"'10","'015","'05","'010","'0005","主睦里"
"'10","'015","'05","'010","'0036","主計里"
"'10","'015","'05","'010","'0006","主和里"
"'10","'015","'05","'010","'0021","主學里"
"'10","'015","'05","'010","'0014","主農里"
"'10","'015","'05","'010","'0042","主安里"
"'10","'015","'05","'010","'0037","主權里"
"'10","'015","'05","'010","'0029","主力里"
"'10","'015","'05","'010","'0008","國風里"
"'10","'015","'05","'010","'0007","國威里"
"'10","'015","'05","'010","'0015","國治里"
"'10","'015","'05","'010","'0030","國安里"
"'10","'015","'05","'010","'0022","國光里"
"'10","'015","'05","'010","'0039","國防里"
"'10","'015","'05","'010","'0038","國華里"
"'10","'015","'05","'010","'0031","國魂里"
"'10","'015","'05","'010","'0023","國聯里"
"'10","'015","'05","'010","'0043","國盛里"
"'10","'015","'05","'010","'0024","國強里"
"'10","'015","'05","'010","'0016","國富里"
"'10","'015","'05","'010","'0041","國裕里"
"'10","'015","'05","'010","'0032","國慶里"
"'10","'015","'05","'010","'0044","國興里"
"'10","'015","'05","'010","'0040","國福里"
"'10","'015","'00","'040","'0000","新城鄉"
"'10","'015","'04","'040","'0000","新城鄉第04選區"
"'10","'015","'04","'040","'0001","新城村"
"'10","'015","'04","'040","'0002","順安村"
"'10","'015","'04","'040","'0003","康樂村"
"'10","'015","'04","'040","'0008","大漢村"
"'10","'015","'04","'040","'0004","北埔村"
"'10","'015","'04","'040","'0005","佳林村"
"'10","'015","'04","'040","'0006","嘉里村"
"'10","'015","'04","'040","'0007","嘉新村"
"'10","'015","'00","'050","'0000","吉安鄉"
"'10","'015","'04","'050","'0000","吉安鄉第04選區"
"'10","'015","'04","'050","'0004","永安村"
"'10","'015","'04","'050","'0003","太昌村"
"'10","'015","'04","'050","'0005","慶豐村"
"'10","'015","'04","'050","'0006","吉安村"
"'10","'015","'04","'050","'0007","福興村"
"'10","'015","'04","'050","'0008","南華村"
"'10","'015","'04","'050","'0009","干城村"
"'10","'015","'04","'050","'0010","永興村"
"'10","'015","'04","'050","'0011","稻香村"
"'10","'015","'04","'050","'0012","南昌村"
"'10","'015","'04","'050","'0013","宜昌村"
